no_reviews,ranks,ratings,t_links,titles
101,55., 95%,/m/marguerite,Marguerite (2016)
100,56., 95%,/m/gimme_danger,Gimme Danger (2016)
76,57., 96%,/m/dark_horse_2016,Dark Horse (2016)
99,58., 95%,/m/the_love_witch,The Love Witch (2016)
99,59., 95%,/m/rams,Rams (Hrútar) (2016)
308,60., 86%,/m/sully,Sully (2016)
213,61., 90%,/m/green_room_2016,Green Room (2016)
67,62., 96%,/m/gleason_2016,Gleason (2016)
160,63., 92%,/m/certain_women_2016,Certain Women (2016)
86,64., 95%,/m/train_to_busan,Train to Busan (Busanhaeng) (2016)
322,65., 85%,/m/hail_caesar_2016,"Hail, Caesar! (2016)"
104,66., 94%,/m/the_innocents_2016,The Innocents (Les innocentes) (2016)
147,67., 92%,/m/southside_with_you,Southside With You (2016)
52,68., 96%,/m/april_and_the_extraordinary_world_2016,April and the Extraordinary World (Avril et le monde truqué) (2016)
99,69., 94%,/m/life_animated,"Life, Animated (2016)"
51,70., 96%,/m/long_way_north,Long Way North (Tout en haut du monde) (2016)
47,71., 96%,/m/nuts_2016,Nuts! (2016)
112,72., 93%,/m/the_eagle_huntress,The Eagle Huntress (2016)
225,73., 88%,/m/the_lobster,The Lobster (2016)
83,74., 94%,/m/fire_at_sea_2016,Fire at Sea (Fuocoammare) (2016)
105,75., 93%,/m/tickled,Tickled (2016)
105,76., 93%,/m/our_little_sister,Our Little Sister (Umimachi Diary) (2016)
92,77., 93%,/m/the_little_prince_2016,The Little Prince (2016)
40,78., 95%,/m/presenting_princess_shaw,Presenting Princess Shaw (2016)
244,79., 86%,/m/hacksaw_ridge,Hacksaw Ridge (2016)
169,80., 89%,/m/a_bigger_splash_2016,A Bigger Splash (2016)
214,81., 87%,/m/petes_dragon_2016,Pete's Dragon (2016)
302,82., 83%,/m/deadpool,Deadpool (2016)
231,83., 86%,/m/lion_2016,Lion (2016)
204,84., 87%,/m/florence_foster_jenkins_2016,Florence Foster Jenkins (2016)
106,85., 91%,/m/a_man_called_ove,A Man Called Ove (En man som heter Ove) (2016)
199,86., 87%,/m/dont_breathe_2016,Don't Breathe (2016)
269,87., 84%,/m/star_trek_beyond,Star Trek Beyond (2016)
72,88., 92%,/m/mountains_may_depart_2016,Mountains May Depart (Shan he gu ren) (2016)
213,89., 86%,/m/everybody_wants_some,Everybody Wants Some!! (2016)
44,90., 93%,/m/the_last_man_on_the_moon,The Last Man On The Moon (2016)
88,91., 91%,/m/a_war,A War (Krigen) (2016)
40,92., 93%,/m/right_now_wrong_then,"Right Now, Wrong Then (2016)"
52,93., 92%,/m/miss_hokusai,Miss Hokusai (Sarusuberi: Miss Hokusai) (2016)
48,94., 92%,/m/i_am_not_a_serial_killer,I Am Not a Serial Killer (2016)
94,95., 90%,/m/barbershop_the_next_cut_2016,Barbershop: The Next Cut (2016)
68,96., 91%,/m/zero_days,Zero Days (2016)
68,97., 91%,/m/eat_that_question_frank_zappa_in_his_own_words,Eat That Question: Frank Zappa in His Own Words (2016)
65,98., 91%,/m/the_boy_and_the_beast,The Boy And The Beast (Bakemono No Ko) (2016)
58,99., 91%,/m/city_of_gold_2016,City Of Gold (2016)
57,100., 91%,/m/the_witness_2016,The Witness (2016)
375,1., 97%,/m/mad_max_fury_road,Mad Max: Fury Road (2015)
330,2., 98%,/m/inside_out_2015,Inside Out (2015)
323,3., 97%,/m/spotlight_2015,Spotlight (2015)
241,4., 99%,/m/selma,Selma (2015)
379,5., 93%,/m/star_wars_episode_vii_the_force_awakens,Star Wars: Episode VII - The Force Awakens (2015)
251,6., 97%,/m/brooklyn,Brooklyn (2015)
234,7., 97%,/m/it_follows,It Follows (2015)
275,8., 95%,/m/carol,Carol (2015)
271,9., 95%,/m/creed_2015,Creed (2015)
161,10., 99%,/m/shaun_the_sheep_movie,Shaun the Sheep Movie (2015)
281,11., 94%,/m/room_2015,Room (2015)
291,12., 93%,/m/mission_impossible_rogue_nation,Mission: Impossible Rogue Nation (2015)
333,13., 91%,/m/the_martian,The Martian (2015)
211,14., 96%,/m/son_of_saul,Son of Saul (2015)
186,15., 97%,/m/45_years,45 Years (2015)
143,16., 98%,/m/paddington_2014,Paddington (2015)
235,17., 94%,/m/spy_2015,Spy (2015)
114,18., 99%,/m/timbuktu_2015,Timbuktu (2015)
137,19., 98%,/m/mustang_2015,Mustang (2015)
197,20., 95%,/m/amy_2015,Amy (2015)
244,21., 93%,/m/sicario_2015,Sicario (2015)
73,22., 100%,/m/gett_the_trial_of_viviane_amsalem,GETT: The Trial of Viviane Amsalem (2015)
120,23., 98%,/m/phoenix_2015,Phoenix (2015)
143,24., 97%,/m/tangerine_2015,Tangerine (2015)
162,25., 96%,/m/what_we_do_in_the_shadows,What We Do In The Shadows (2015)
63,26., 100%,/m/seymour_an_introduction,Seymour: An Introduction (2015)
275,27., 91%,/m/bridge_of_spies,Bridge of Spies (2015)
241,28., 92%,/m/ex_machina,Ex Machina (2015)
46,29., 100%,/m/court,Court (2015)
93,30., 98%,/m/iris_2015,Iris (2015)
44,31., 100%,/m/3_and_12_minutes_10_bullets,"3 And 1/2 Minutes, 10 Bullets (2015)"
68,32., 99%,/m/about_elly,About Elly (2015)
88,33., 98%,/m/kurt_cobain_montage_of_heck_2015,Kurt Cobain: Montage Of Heck (2015)
124,34., 96%,/m/the_look_of_silence,The Look of Silence (2015)
244,35., 91%,/m/anomalisa,Anomalisa (2015)
147,36., 95%,/m/wild_tales,Wild Tales (2015)
95,37., 97%,/m/listen_to_me_marlon,Listen To Me Marlon (2015)
115,38., 96%,/m/hitchcocktruffaut,Hitchcock/Truffaut (2015)
129,39., 95%,/m/71_2015,'71 (2015)
54,40., 98%,/m/ingrid_bergman_in_her_own_words,Ingrid Bergman in Her Own Words (Jag är Ingrid) (2015)
295,41., 88%,/m/the_big_short,The Big Short (2015)
147,42., 94%,/m/the_diary_of_a_teenage_girl,The Diary Of A Teenage Girl (2015)
95,43., 96%,/m/jafar_panahis_taxi,Jafar Panahi's Taxi (2015)
46,44., 98%,/m/finders_keepers_2015,Finders Keepers (2015)
70,45., 97%,/m/theeb,Theeb (2015)
43,46., 98%,/m/welcome_to_leith,Welcome To Leith (2015)
84,47., 96%,/m/the_second_mother,The Second Mother (Que Horas Ela Volta?) (2015)
83,48., 96%,/m/heart_of_a_dog,Heart of a Dog (2015)
172,49., 92%,/m/the_gift_2015,The Gift (2015)
195,50., 91%,/m/love_and_mercy,Love & Mercy (2015)
71,51., 96%,/m/girlhood_2015,Girlhood (2015)
95,52., 95%,/m/red_army_2015,Red Army (2015)
163,53., 92%,/m/grandma_2015,Grandma (2015)
113,54., 94%,/m/best_of_enemies_2015,Best Of Enemies (2015)
88,55., 95%,/m/the_salt_of_the_earth,The Salt of the Earth (2015)
126,56., 93%,/m/slow_west_2015,Slow West (2015)
52,57., 96%,/m/appropriate_behavior,Appropriate Behavior (2015)
46,58., 96%,/m/in_jackson_heights,In Jackson Heights (2015)
140,59., 92%,/m/99_homes,99 Homes (2015)
211,60., 89%,/m/a_most_violent_year,A Most Violent Year (2015)
90,61., 94%,/m/going_clear_scientology_and_the_prison_of_belief_2015,Going Clear: Scientology and the Prison of Belief (2015)
281,62., 86%,/m/steve_jobs_2015,Steve Jobs (2015)
63,63., 95%,/m/the_wonders_2015,The Wonders (2015)
61,64., 95%,/m/the_forbidden_room_2015,The Forbidden Room (2015)
56,65., 95%,/m/boy_and_the_world,Boy and the World (O Menino e o Mundo) (2015)
146,66., 91%,/m/the_end_of_the_tour_2015,The End Of The Tour (2015)
43,67., 95%,/m/we_are_still_here,We Are Still Here (2015)
91,68., 93%,/m/the_duke_of_burgundy,The Duke Of Burgundy (2015)
66,69., 94%,/m/1200743-wrecking_crew,The Wrecking Crew (2015)
86,70., 93%,/m/ill_see_you_in_my_dreams,I'll See You in My Dreams (2015)
254,71., 86%,/m/trainwreck,Trainwreck (2015)
128,72., 91%,/m/beasts_of_no_nation,Beasts of No Nation (2015)
53,73., 94%,/m/disneynature_monkey_kingdom,Disneynature Monkey Kingdom (2015)
219,74., 87%,/m/straight_outta_compton,Straight Outta Compton (2015)
50,75., 94%,/m/gueros,Güeros (2015)
73,76., 93%,/m/janis_little_girl_blue,Janis: Little Girl Blue (2015)
72,77., 93%,/m/the_hunting_ground_2015,The Hunting Ground (2015)
60,78., 93%,/m/the_black_panthers_vanguard_of_the_revolution_2015,The Black Panthers: Vanguard Of The Revolution (2015)
156,79., 89%,/m/clouds_of_sils_maria,Clouds of Sils Maria (2015)
77,80., 92%,/m/queen_of_earth,Queen of Earth (2015)
172,81., 88%,/m/mr_holmes,Mr. Holmes (2015)
141,82., 89%,/m/the_lady_in_the_van,The Lady In The Van (2015)
43,83., 93%,/m/the_pearl_button_2015,The Pearl Button (El botón de nácar) (2015)
91,84., 91%,/m/when_marnie_was_there,When Marnie Was There (2015)
40,85., 93%,/m/peggy_guggenheim_art_addict,Peggy Guggenheim: Art Addict (2015)
182,86., 87%,/m/still_alice,Still Alice (2015)
182,87., 87%,/m/the_peanuts_movie,The Peanuts Movie (2015)
108,88., 90%,/m/mississippi_grind,Mississippi Grind (2015)
251,89., 84%,/m/the_walk_2015,The Walk (2015)
346,90., 80%,/m/the_revenant_2015,The Revenant (2015)
50,91., 92%,/m/black_souls_2015,Black Souls (2015)
48,92., 92%,/m/respire_2014,Breathe (2015)
144,93., 88%,/m/dope_2015,Dope (2015)
118,94., 89%,/m/mommy_2015,Mommy (2015)
69,95., 91%,/m/james_white,James White (2015)
286,96., 82%,/m/antman,Ant-Man (2015)
83,97., 90%,/m/bone_tomahawk,Bone Tomahawk (2015)
57,98., 91%,/m/sunshine_superman,Sunshine Superman (2015)
128,99., 88%,/m/kumiko_the_treasure_hunter,"Kumiko, the Treasure Hunter (2015)"
101,100., 89%,/m/white_god,White God (2015)
291,1., 97%,/m/boyhood,Boyhood (2014)
219,2., 98%,/m/the_babadook,The Babadook (2014)
233,3., 96%,/m/the_lego_movie,The LEGO Movie (2014)
275,4., 94%,/m/whiplash_2014,Whiplash (2014)
242,5., 95%,/m/nightcrawler,Nightcrawler (2014)
194,6., 97%,/m/life_itself,Life Itself (2014)
186,7., 97%,/m/mr_turner,Mr. Turner (2014)
134,8., 99%,/m/leviafan,Leviathan (2014)
224,9., 95%,/m/snowpiercer,Snowpiercer (2014)
127,10., 99%,/m/gloria_2012,Gloria (2014)
168,11., 97%,/m/two_days_one_night,"Two Days, One Night (2014)"
305,12., 91%,/m/birdman_2014,Birdman (2014)
274,13., 92%,/m/the_grand_budapest_hotel,The Grand Budapest Hotel (2014)
295,14., 91%,/m/guardians_of_the_galaxy,Guardians of the Galaxy (2014)
295,15., 91%,/m/x_men_days_of_future_past,X-Men: Days of Future Past (2014)
85,16., 100%,/m/the_tale_of_the_princess_kaguya,The Tale of the Princess Kaguya (2014)
107,17., 99%,/m/starred_up,Starred Up (2014)
113,18., 98%,/m/jodorowskys_dune,Jodorowsky's Dune (2014)
296,19., 90%,/m/live_die_repeat_edge_of_tomorrow,Live Die Repeat: Edge of Tomorrow (2014)
