actor,ga_gender,ga_accuracy
Sarah Polley ,female,98
Catherine Deneuve ,female,98
Louise Monot ,female,97
Slash  ,male,94
Rafi Naabzada ,male,85
Justin Long ,male,98
David James ,male,99
Peter Capaldi ,male,99
Maryam Akbari ,female,98
Pat Connolly ,male,61
Irina Potapenko ,female,98
Mo'Nique  ,female,98
Mélanie Laurent ,female,98
Michael Pollan ,male,99
Simon Hutchins ,male,98
Samal Yeslyamova ,male,52
Jesse Eisenberg ,male,93
Maggie Gyllenhaal ,female,99
Patricia Marx Ellsberg,female,98
Thomas Turgoose ,male,99
Souleymane Sy Savane,male,98
Richard Kind ,male,99
Luis Yanza ,male,99
Kyôko Koizumi ,,
Juliette Binoche ,female,97
Yuria Nara ,female,89
Timothy Spall ,male,99
Maja Ostaszewska ,female,97
Dominique McElligott ,male,57
Viola Harris ,female,97
Claudia Celedón ,female,98
Ali Suliman ,male,94
Donna McKechnie ,female,98
Liam Cunningham ,male,99
Takeshi Kaneshiro ,male,99
Anna Bonaiuto ,female,98
Jesper Christensen ,male,99
Sam Worthington ,male,85
Emma Watson ,female,91
Daryl Sabara ,male,94
Zooey Deschanel ,female,95
Noomi Rapace ,female,74
Edgar Flores ,male,99
Anna Faris ,female,98
Bruno Campos ,male,99
Julianne Moore ,female,99
Claire Danes ,female,98
Ben Affleck ,male,97
Eva Mendes ,female,98
Drew Barrymore ,male,96
Gianni Di Venanzo,male,99
Ulrich Tukur ,male,98
Mills Lane ,male,74
Micah Sloat ,male,86
Melkar Muallem ,,
Kim Song Hee,female,68
Kevin Corrigan ,male,99
Aurelie Dupont ,female,97
Abbie Cornish ,female,94
Alice Krige ,female,98
Bee Vang ,female,64
Ed Helms ,male,98
Grace Coddington ,female,96
Scott Bakula ,male,100
Miriam Makeba ,female,98
Blanca Portillo ,female,98
Lisa Houle ,female,98
Shin Ha-Gyun ,male,79
Obba Babatundé ,male,93
Michelle Conlin ,female,97
Joshua Leonard ,male,100
Gaelan Connell ,male,90
Matt Damon ,male,100
Jeanne Balibar ,female,97
Robert Plant ,male,99
Ryoko Hirosue ,female,93
Jason Calacanis ,male,99
Michael Dorman ,male,99
William Black ,male,99
Rupert Friend ,male,98
Callum Roberts ,male,99
Heath Ledger ,male,97
Marisa Tomei ,female,98
Alan Welner ,male,99
Elissa Knight ,female,97
Lina Leandersson ,female,97
Terrence Howard ,male,99
Emile Hirsch ,male,94
Freida Pinto ,female,97
Yui Natsukawa ,female,85
Ron Ben-Yishai ,male,99
Franck Keita ,male,99
Gregoire Colin ,male,97
Mike Mad Dog Bell,male,99
Scott Roberts ,male,100
André Lubrano ,male,99
Alexis Zegerman ,male,77
Isamar Gonzales ,female,96
Salvatore Cantalupo ,male,99
Jhangir Badshah ,male,100
Alina Vargas ,female,98
Phil Adams ,male,98
Emily Mortimer ,female,98
Malcolm McDowell ,male,99
Kathleen Bagby ,female,99
Yasmine Al Massri,female,98
Jim Myron Ross,male,99
Haaz Sleiman ,male,86
Téa Leoni ,female,97
Misty Upham ,female,97
Elsa Zylberstein ,female,98
Ken Jacobs ,male,98
Clotilde Hesme ,female,98
Walter Dalton ,male,97
Rosemarie DeWitt ,female,98
Liping Lu ,female,81
Kristen Bell ,female,97
The Rolling Stones,male,87
Robert Bixby ,male,99
Anita Thompson ,female,98
Thure Lindhardt ,male,93
Rhys Wakefield ,male,98
Nikol Leidman ,female,94
Gwyneth Paltrow ,female,98
Penelope Cruz ,female,98
Honglei Sun ,male,82
Jérémie Renier ,male,99
Sara Simmonds ,female,98
Frances McDormand ,female,94
François Damiens ,male,99
Itay Tiran ,male,100
Moritz Bleibtreu ,male,99
Shia LaBeouf ,female,64
Philip Seymour Hoffman,male,99
Douglas Dalton ,male,99
Mary-Louise Parker ,female,100
Eriq Ebouaney ,male,100
Jessica Lucas ,female,98
Saffron Burrows ,female,90
Seann William Scott,male,89
Viggo Mortensen ,male,97
Leslie Cheung ,female,81
Oldrich Kaiser ,male,99
Matt Dillon ,male,100
Hannelore Elsner ,female,98
Ken Davis ,male,98
Christian Redl ,male,99
Chris O'Donnell ,male,93
Amy Adams ,female,98
Ross Partridge ,male,91
Kat Dennings ,female,95
Rubén Ochandiano ,male,99
Cate Blanchett ,female,98
Patrick Bruel ,male,99
Jeremy Allen White,male,99
Brie Townsend ,female,92
Hatice Aslan ,female,96
Morgan Freeman ,male,63
Ben Kingsley ,male,97
Bérénice Bejo ,female,97
Ayako Fujitani ,female,98
Benoît Magimel ,male,99
Kate del Castillo,female,98
Olga Kurylenko ,female,98
Colin Clemens ,male,99
Liv Tyler ,female,90
Maxime Gaudette ,male,98
Richard Williams ,male,99
Peter Tory ,male,99
Damon Hall ,male,99
Alex Esmail ,male,92
Jack Boulter ,male,97
Nazareno Timpano ,male,98
Benjamin Helstad ,male,99
Sandro Rocha ,male,98
Jeremy Irons ,male,99
Joe Dante ,male,97
Hideo Nakaizumi ,male,100
Gérard Lanvin ,male,98
Jean-Claude Carriere ,male,99
Angela Davis ,female,98
Claire Keelan ,female,98
Betty Staley ,female,98
Laurence Fishburne ,female,90
Phife Dawg ,male,100
Anne Heche ,female,98
Joel Courtney ,male,99
Sakda Kaewbuadee ,male,99
Togo Igawa ,male,90
Karra Elejalde ,female,57
Andy Serkis ,male,95
Youssouf Djaoro ,male,97
Jamie Bell ,male,62
Bridger Zadina ,male,93
Goran Visnjic ,male,99
Kenneth Branagh ,male,99
Ryan Phillippe ,male,99
Dolores Heredia ,female,98
Susan Polgar ,female,98
José Luis Arias,male,98
Nick Nolte ,male,98
Hoji Fortuna ,male,92
Reza Sixo Safai,male,97
Grégoire Leprince-Ringuet ,male,98
François-Xavier Demaison ,male,98
Fabrice Luchini ,male,98
Maibritt Saerens ,female,100
Katrina Bowden ,female,98
Anthony Hopkins ,male,99
Ricardo Pereira ,male,99
Olivia Colman ,female,97
Samar Qudha Tanus,female,80
Tomas Alf Larsen,male,99
Joan Cusack ,male,56
Justin Timberlake ,male,98
Craig Ferguson ,male,100
Geoffrey Rush ,male,99
Daniel Alpert ,male,99
Sebastiao Carlos Dos,male,99
Adel Bencherif ,male,95
Qin Zhang ,female,64
Kate Mara ,female,98
Jon Hamm ,male,99
Guy Pearce ,male,98
Kevin Rice ,male,99
Thierry Guetta ,male,98
Kevin Breznahan ,male,99
Ibrahim Frege ,male,97
Jin Goo ,male,72
George Hardy ,male,99
Hamed Behdad ,male,98
Nora von Waldstatten,female,97
Donna Murphy ,female,98
Richard Tillman ,male,99
Rebecca Griffiths ,female,99
Mitjili Napanangka Gibson,,
Joy Browne ,female,79
Javier Godino ,male,99
Filippo Timi ,male,99
Bruno Todeschini ,male,99
Paul Bandey ,male,99
Angeliki Papoulia ,female,97
Mick Lally ,male,98
Faith Wladyka ,female,89
Ken Langone ,male,98
Natan Machado Palombini,male,98
Dianne Wiest ,female,99
Rosario Dawson ,male,64
Ilmari Järvenpää ,male,100
Joshua Zeman ,male,100
Amanda Bynes ,female,98
Jose Luis Garcia-Perez,male,97
Manelle Driss ,female,96
Oliver Platt ,male,98
Kim Bodnia ,female,68
Kieran Culkin ,male,98
Nicolas Duvauchelle ,male,99
Sissy Spacek ,female,92
Kim Cattrall ,female,68
David Roberts ,male,99
Guillaume Canet ,male,99
Stephanie Bishop ,female,98
Russell Brand ,male,99
Richard H. Glanton,male,99
Stephen Rea ,male,99
Nigel Lindsay ,male,99
Jung Woo-sung ,male,71
Edoardo Gabbriellini ,male,99
Eddie Marsan ,male,98
Ariel Schulman ,male,74
Bruce McGill ,male,99
Steven Strait ,male,99
Miranda Richardson ,female,95
Elena Anaya ,female,98
Lancelot Perrin ,male,99
Gérard Depardieu ,male,98
Danny DeVito ,male,94
Christopher Mintz-Plasse ,male,99
Rolf Mowatt-Larssen ,male,99
Grace Dunham ,female,96
Don Cheadle ,male,98
Jamie Hector ,male,62
Igor Chernevich ,male,99
Tom E. Lewis,male,99
Delphine Chaneac ,female,98
Michel Blanc ,male,97
Alex Lutz ,male,92
Rhys Ifans ,male,98
Jordan Nagai ,male,88
Brian Geraghty ,male,99
Leonard Nimoy ,male,98
Robb Reiner ,male,99
Lima Sahar ,female,54
Alfred Molina ,male,98
David Paymer ,male,99
Jason Schwartzman ,male,99
Anna Kendrick ,female,98
Vanessa Haywood ,female,98
James Gandolfini ,male,99
Schabnam Akhlaghi ,female,80
John Sweet ,male,99
Ursula Strauss ,female,98
Paula Patton ,female,98
Christoph Waltz ,male,99
Gary Hirschberg ,male,99
Mandy-Rae Cruickshank ,female,95
Samal Esljamova ,male,52
Beth Grant ,female,99
Richard Falk ,male,99
Piotr Jagiello ,male,99
Carmen Levya ,female,98
Fred Melamed ,male,96
Germán Yáñez ,male,100
Barry Humphries ,male,98
Yu Koyanagi ,male,63
Colm Meaney ,male,99
Artur Zmijewski ,male,99
Matt Berry ,male,100
Gary David Goldberg,male,99
Andrea García-Huidobro ,female,54
Rona Lipaz-Michael ,female,87
Sue O'Malley ,female,98
Charlotte D'Amboise ,female,96
Samantha Morton ,female,98
Stuart Graham ,male,99
Fengyi Zhang ,male,77
Giulio Bosetti ,male,99
Mikael Persbrandt ,male,99
Sigourney Weaver ,female,93
Rupert Grint ,male,98
Alexie Gilmore ,female,78
Geoffrey Arend ,male,99
Christopher Plummer ,male,99
Lena Endre ,female,98
Anne Bennent ,female,98
Kristyan Ferrer ,male,93
James Caan ,male,99
Keith David ,male,98
Matthew Goode ,male,100
Christian McKay ,male,99
Val Kilmer ,female,68
Juliette Lewis ,female,97
Grazia Cesarini Sforza,female,98
Rashida Jones ,female,97
Leonie Benesch ,female,98
Trevor Berbick ,male,99
Mark Fredrichs ,male,99
Hiam Abbass ,female,80
Mary Woronov ,female,98
