titles,box_office,total
The Spanish Prisoner,10.16203400000,10162034
The Adventures of Pluto Nash,4.41110200000,4411102
Jin líng shí san chai,0.31143400000,311434
The Peanuts Movie,130.17841100000,130178411
The Mummy Returns,202.00764000000,202007640
Gangs of New York,77.73050000000,77730500
Jack Reacher: Never Go Back,0.00000000000,0
Cinderella,201.15135300000,201151353
Ice Age: Continental Drift,161.32184300000,161321843
Black Hawk Down,108.63874500000,108638745
Sex and the City 2,95.34769200000,95347692
Percy Jackson & the Olympians: The Lightning Thief,88.76830300000,88768303
The Campaign,86.90774600000,86907746
Unstoppable,81.56294200000,81562942
The Fifth Element,63.57086200000,63570862
The Road to El Dorado,50.80266100000,50802661
The Lovely Bones,44.11423200000,44114232
Ben-Hur,26.41047700000,26410477
Seventh Son,17.22326500000,17223265
Finding Nemo,380.52937000000,380529370
The Lord of the Rings: The Return of the King,377.84590500000,377845905
The Lord of the Rings: The Two Towers,342.54898400000,342548984
Lara Croft: Tomb Raider,131.14418300000,131144183
Kingsman: The Secret Service,128.26172400000,128261724
Jurassic Park III,181.16611500000,181166115
Rise of the Planet of the Apes,176.76018500000,176760185
The Spiderwick Chronicles,71.19505300000,71195053
The Incredibles,261.44109200000,261441092
A Good Day to Die Hard,67.34919800000,67349198
The Alamo,22.40636200000,22406362
Cutthroat Island,10.01732200000,10017322
The Secret Life of Walter Mitty,58.23683800000,58236838
Men in Black,250.69053900000,250690539
Toy Story 2,245.85217900000,245852179
Rush Hour 2,226.16428600000,226164286
Sherlock Holmes,209.02867900000,209028679
Ice Age: Dawn of the Dinosaurs,196.57370500000,196573705
What Lies Beneath,155.46435100000,155464351
Rio,143.61980900000,143619809
The Departed,132.38431500000,132384315
Charlie's Angels,125.30554500000,125305545
Mulan,120.62025400000,120620254
Tropic Thunder,110.46130700000,110461307
The Girl with the Dragon Tattoo,102.51579300000,102515793
Contact,100.92032900000,100920329
You Don't Mess With the Zohan,100.01883700000,100018837
Die Hard: With a Vengeance,100.01249900000,100012499
Alvin and the Chipmunks: The Road Chip,85.88698700000,85886987
Atlantis: The Lost Empire,84.05276200000,84052762
Valkyrie,83.07776200000,83077762
Pixels,78.74758500000,78747585
Artificial Intelligence: AI,78.61668900000,78616689
The Haunted Mansion,75.81799400000,75817994
Hollow Man,73.20934000000,73209340
The Interpreter,72.70816100000,72708161
Percy Jackson: Sea of Monsters,68.55955400000,68559554
The Magnificent Seven,66.76539300000,66765393
Lara Croft: Tomb Raider: The Cradle of Life,65.65375800000,65653758
Now You See Me 2,65.07554000000,65075540
Spy Game,62.36256000000,62362560
The Saint,61.36330400000,61363304
Mission to Mars,60.87461500000,60874615
Bicentennial Man,58.22077600000,58220776
King Arthur,51.87796300000,51877963
Volcano,47.54679600000,47546796
The Devil's Own,42.88559300000,42885593
K-19: The Widowmaker,35.16896600000,35168966
Conan the Barbarian,21.29502100000,21295021
The Three Musketeers,20.37791300000,20377913
The Nutcracker in 3D,0.19545900000,195459
Twister,241.68838500000,241688385
Cinderella Man,61.64991100000,61649911
Fantastic Four,154.69608000000,154696080
Hannibal,165.09226600000,165092266
Seabiscuit,120.27785400000,120277854
Cast Away,233.63214200000,233632142
Happy Feet,198.00031700000,198000317
Ocean's Eleven,183.41715000000,183417150
The Bourne Supremacy,176.08745000000,176087450
Air Force One,172.95640900000,172956409
Fast & Furious,155.06426500000,155064265
Horton Hears a Who,154.52943900000,154529439
Divergent,150.94789500000,150947895
Hotel Transylvania,148.31304800000,148313048
Enchanted,127.70687700000,127706877
Safe House,126.18163000000,126181630
I Now Pronounce You Chuck and Larry,119.72528000000,119725280
Ocean's Thirteen,117.14446500000,117144465
It's Complicated,112.73537500000,112735375
Enemy of the State,111.54983600000,111549836
Open Season,85.10525900000,85105259
Tower Heist,78.04657000000,78046570
102 Dalmatians,66.94155900000,66941559
Mirror Mirror,64.93516700000,64935167
The Holiday,63.28000000000,63280000
The Fast and the Furious: Tokyo Drift,62.61551000000,62615510
Memoirs of a Geisha,57.01085300000,57010853
Enemy at the Gates,51.39678100000,51396781
Last Action Hero,50.01639400000,50016394
The Rundown,47.64174300000,47641743
Arthur Christmas,46.46246900000,46462469
Cats & Dogs: The Revenge of Kitty Galore,45.53929200000,45539292
Meet Joe Black,44.65000300000,44650003
Collateral Damage,40.04833200000,40048332
Showtime,37.94876500000,37948765
Judge Dredd,34.68791200000,34687912
Zodiac,33.08008400000,33080084
Scott Pilgrim vs. The World,31.61131600000,31611316
The Core,31.11126000000,31111260
Father's Day,28.68108000000,28681080
Scooby-Doo,153.29416400000,153294164
Nutty Professor II: The Klumps,123.30794500000,123307945
RED 2,53.26256000000,53262560
Click,137.35563300000,137355633
Charlotte's Web,82.98570800000,82985708
Jumper,81.16826500000,81168265
Hellboy II: The Golden Army,75.98650300000,75986503
The Longest Yard,158.11946000000,158119460
The Expendables,103.06852400000,103068524
The 6th Day,34.54370100000,34543701
Bruce Almighty,242.70499500000,242704995
The Hunger Games,408.01069200000,408010692
The Hangover Part II,254.46430500000,254464305
Mission: Impossible,180.98188600000,180981886
Hotel Transylvania 2,169.70011000000,169700110
Batman Returns,162.83363500000,162833635
The Mummy,155.38548800000,155385488
Over the Hedge,155.01934000000,155019340
Lilo & Stitch,145.77152700000,145771527
Deep Impact,140.46466400000,140464664
Grown Ups 2,133.66852500000,133668525
Alvin and the Chipmunks: Chipwrecked,133.10738900000,133107389
Get Smart,130.31920800000,130319208
Robots,128.20001200000,128200012
Shutter Island,128.01293400000,128012934
Something's Gotta Give,124.68524200000,124685242
Four Christmases,120.14604000000,120146040
Face/Off,112.27614600000,112276146
Bedtime Stories,110.10197500000,110101975
Road to Perdition,104.05451400000,104054514
Just Go With It,103.02810900000,103028109
Daredevil,102.54351800000,102543518
Eagle Eye,101.44074300000,101440743
Con Air,101.11757300000,101117573
Yogi Bear,100.24601100000,100246011
Cold Mountain,95.63261400000,95632614
The Book of Eli,94.83505900000,94835059
Flubber,92.99380100000,92993801
The Haunting,91.18890500000,91188905
Space Jam,90.46353400000,90463534
Fury,85.75559300000,85755593
The Pink Panther,82.22647400000,82226474
Zookeeper,80.36086600000,80360866
The Day the Earth Stood Still,79.36697800000,79366978
Conspiracy Theory,76.11899000000,76118990
"Six Days, Seven Nights",74.33929400000,74339294
Spirit: Stallion of the Cimarron,73.21531000000,73215310
Swordfish,69.77296900000,69772969
Lost In Space,69.11762900000,69117629
The Manchurian Candidate,65.94871100000,65948711
Déjà Vu,64.03861600000,64038616
Bewitched,63.31315900000,63313159
Fantasia 2000 (IMAX),60.50722800000,60507228
The Time Machine,56.68481900000,56684819
What Dreams May Come,55.48504300000,55485043
Mighty Joe Young,50.63203700000,50632037
The Legend of Zorro,45.57533600000,45575336
Little Nicky,39.44287100000,39442871
Surrogates,38.57777200000,38577772
Evolution,38.31113400000,38311134
The Brothers Grimm,37.89963800000,37899638
Mars Attacks!,37.77101700000,37771017
The Wild,37.38404600000,37384046
Walking with Dinosaurs,36.07612100000,36076121
Thirteen Days,34.56674600000,34566746
Daylight,32.90829000000,32908290
The Last Witch Hunter,27.36766000000,27367660
Pompeii,23.16903300000,23169033
Battlefield Earth: A Saga of the Year 3000,21.47168500000,21471685
Looney Tunes: Back in Action,20.95082000000,20950820
Nine,19.67696500000,19676965
Timeline,19.48073900000,19480739
Oceans,19.42231900000,19422319
Babe: Pig in the City,18.31986000000,18319860
The Postman,17.65070400000,17650704
Red Planet,17.48089000000,17480890
Arthur et les Minimoys,15.13276300000,15132763
The Invasion,15.07419100000,15074191
Fantasia 2000 (Theatrical Release),9.10363000000,9103630
A Sound of Thunder,1.90045100000,1900451
"Don Gato, el inicio de la pandilla",0.00000000000,0
The Lion King,422.78014000000,422780140
Journey 2: The Mysterious Island,103.86029000000,103860290
Jack and Jill,74.15815700000,74158157
A Beautiful Mind,170.70899600000,170708996
Cloudy with a Chance of Meatballs 2,119.79356700000,119793567
Red Dragon,92.95542000000,92955420
Hidalgo,67.28673100000,67286731
The League of Extraordinary Gentlemen,66.46520400000,66465204
Exorcist: The Beginning,41.81486300000,41814863
